iter	Passed	Remaining
0	58	58075
1	58	29362
2	59	19760
3	60	14969
4	60	12120
5	61	10201
6	62	8821
7	62	7793
8	63	6989
9	64	6342
10	64	5816
11	65	5375
12	65	5004
13	66	4682
14	67	4405
15	67	4161
16	68	3945
17	68	3754
18	69	3584
19	70	3434
20	70	3295
21	71	3171
22	71	3057
23	72	2953
24	73	2855
25	73	2763
26	74	2678
27	74	2602
28	75	2530
29	76	2462
30	76	2398
31	77	2340
32	78	2287
33	78	2235
34	79	2189
35	80	2144
36	80	2103
37	81	2062
38	82	2021
39	82	1982
40	83	1946
41	83	1912
42	84	1877
43	84	1844
44	85	1814
45	86	1786
46	86	1758
47	87	1733
48	87	1707
49	88	1683
50	89	1659
51	89	1636
52	90	1615
53	91	1594
54	91	1574
55	92	1555
56	92	1536
57	93	1518
58	94	1501
59	94	1484
60	95	1468
61	96	1452
62	96	1437
63	97	1421
64	97	1407
65	98	1393
66	99	1380
67	99	1366
68	100	1353
69	100	1340
70	101	1328
71	102	1316
72	102	1304
73	103	1292
74	103	1281
75	104	1270
76	105	1258
77	105	1247
78	106	1238
79	106	1227
80	107	1218
81	107	1208
82	108	1199
83	109	1189
84	109	1180
85	110	1172
86	110	1163
87	111	1155
88	111	1146
89	112	1138
90	113	1130
91	113	1122
92	114	1115
93	115	1108
94	115	1102
95	116	1095
96	116	1088
97	117	1078
98	117	1071
99	118	1065
100	118	1058
101	119	1052
102	120	1046
103	120	1040
104	121	1034
105	122	1028
106	122	1023
107	123	1018
108	123	1013
109	124	1008
110	125	1003
111	125	997
112	126	992
113	127	988
114	127	983
115	128	978
116	129	974
117	129	968
118	130	964
119	130	959
120	131	954
121	132	950
122	132	945
123	133	940
124	133	936
125	134	931
126	134	927
127	135	923
128	136	919
129	136	914
130	137	910
131	137	906
132	138	902
133	139	898
134	139	894
135	140	890
136	140	887
137	141	883
138	141	879
139	142	875
140	143	871
141	143	867
142	144	864
143	144	860
144	145	857
145	145	853
146	146	850
147	147	847
148	147	841
149	147	837
150	148	833
151	148	829
152	149	825
153	149	821
154	150	817
155	150	813
156	150	810
157	151	806
158	151	802
159	152	798
160	152	795
161	153	791
162	153	787
163	153	784
164	154	780
165	154	777
166	155	773
167	155	770
168	155	767
169	156	763
170	156	760
171	157	757
172	157	754
173	158	750
174	158	747
175	159	744
176	159	741
177	159	738
178	160	735
179	160	732
180	161	729
181	161	726
182	161	723
183	162	720
184	162	717
185	163	714
186	163	711
187	164	708
188	164	705
189	164	703
190	165	700
191	165	697
192	166	695
193	166	692
194	167	689
195	167	687
196	167	684
197	168	682
198	168	679
199	169	676
200	169	674
201	170	672
202	170	669
203	170	666
204	171	664
205	171	661
206	172	659
207	172	657
208	172	654
209	173	652
210	173	649
211	174	647
212	174	645
213	175	643
214	175	640
215	175	638
216	176	636
217	176	633
218	177	631
219	177	629
220	177	627
221	178	625
222	178	622
223	179	620
224	179	618
225	180	616
226	180	614
227	180	612
228	181	610
229	181	608
230	182	606
231	182	605
232	183	603
233	183	602
234	184	600
235	184	598
236	185	596
237	185	595
238	186	593
239	186	591
240	187	589
241	187	587
242	187	585
243	188	583
244	188	581
245	189	579
246	189	578
247	190	576
248	190	574
249	190	572
250	191	570
251	191	569
252	192	567
253	192	565
254	192	563
255	193	562
256	194	560
257	194	559
258	195	558
259	195	556
260	195	554
261	196	553
262	196	551
263	197	550
264	197	548
265	198	546
266	198	545
267	199	543
268	199	542
269	199	540
270	200	538
271	200	536
272	201	535
273	201	533
274	201	532
275	202	530
276	202	529
277	203	527
278	203	525
279	203	524
280	204	522
281	204	521
282	205	520
283	205	518
284	206	517
285	206	515
286	207	514
287	207	513
288	208	511
289	208	510
290	208	508
291	209	507
292	209	506
293	210	504
294	210	503
295	211	502
296	211	500
297	211	499
298	212	497
299	212	496
300	213	495
301	213	493
302	214	492
303	214	491
304	214	489
305	215	488
306	215	487
307	216	485
308	216	484
309	217	483
310	217	481
311	217	480
312	218	479
313	218	478
314	219	476
315	219	475
316	220	474
317	220	473
318	221	472
319	221	470
320	221	469
321	222	468
322	222	467
323	223	465
324	223	464
325	224	463
326	224	462
327	225	461
328	225	460
329	226	458
330	226	457
331	226	456
332	227	455
333	227	453
334	228	452
335	228	451
336	228	450
337	229	449
338	229	448
339	230	446
340	230	445
341	231	444
342	231	443
343	231	442
344	232	441
345	232	440
346	233	439
347	233	438
348	234	437
349	234	436
350	235	434
351	235	433
352	236	432
353	236	431
354	236	430
355	237	429
356	237	428
357	238	427
358	238	426
359	239	425
360	239	424
361	240	423
362	240	422
363	241	421
364	241	420
365	241	419
366	242	417
367	242	416
368	243	415
369	243	414
370	244	413
371	244	412
372	244	411
373	245	410
374	246	410
375	246	409
376	246	408
377	247	407
378	247	406
379	248	405
380	248	404
381	249	403
382	249	402
383	250	401
384	250	400
385	250	399
386	251	398
387	251	397
388	252	396
389	252	395
390	253	394
391	253	393
392	254	392
393	254	391
394	254	390
395	255	389
396	255	388
397	256	387
398	256	386
399	257	385
400	257	384
401	257	383
402	258	382
403	258	381
404	259	380
405	259	379
406	260	378
407	260	378
408	260	377
409	261	376
410	261	375
411	262	374
412	262	373
413	263	372
414	263	371
415	263	370
416	264	369
417	264	368
418	265	367
419	265	366
420	266	365
421	266	365
422	267	364
423	267	363
424	267	362
425	268	361
426	268	360
427	269	359
428	269	358
429	270	357
430	270	357
431	270	356
432	271	355
433	271	354
434	272	353
435	272	352
436	273	351
437	273	350
438	273	350
439	274	349
440	274	348
441	275	347
442	275	346
443	276	345
444	276	344
445	276	343
446	277	343
447	277	342
448	278	341
449	278	340
450	279	339
451	279	338
452	279	337
453	280	337
454	280	336
455	281	335
456	281	334
457	282	333
458	282	332
459	282	332
460	283	331
461	283	330
462	284	329
463	284	328
464	285	327
465	285	327
466	285	326
467	286	325
468	286	324
469	287	323
470	287	323
471	288	322
472	288	321
473	288	320
474	289	319
475	289	319
476	290	318
477	290	317
478	291	316
479	291	315
480	291	315
481	292	314
482	292	313
483	293	312
484	293	311
485	294	311
486	294	310
487	294	309
488	295	308
489	296	308
490	296	307
491	297	306
492	297	305
493	297	305
494	298	304
495	298	303
496	299	302
497	299	301
498	299	301
499	300	300
500	300	299
501	301	298
502	301	298
503	302	297
504	302	296
505	302	295
506	303	295
507	303	294
508	304	293
509	304	292
510	305	292
511	305	291
512	306	290
513	306	289
514	307	289
515	307	288
516	308	287
517	308	286
518	308	286
519	309	285
520	309	284
521	310	284
522	310	283
523	311	282
524	311	281
525	311	281
526	312	280
527	312	279
528	313	278
529	313	278
530	314	277
531	314	276
532	314	275
533	315	275
